t, PE, KE, TE,q1, q2,
0.083750, 681.445944, 748.724857, 1430.170801,0.067870, 0.383637,
0.084375, 681.533988, 749.171648, 1430.705636,0.061749, 0.388369,
0.085000, 681.616315, 749.482082, 1431.098397,0.055622, 0.393114,
0.085625, 681.692900, 749.656560, 1431.349460,0.049490, 0.397872,
0.086250, 681.763721, 749.696402, 1431.460123,0.043353, 0.402644,
0.086875, 681.828758, 749.602108, 1431.430866,0.037212, 0.407429,
0.087500, 681.887992, 749.375084, 1431.263076,0.031068, 0.412226,
0.088125, 681.941408, 749.015925, 1430.957333,0.024921, 0.417036,
0.088750, 681.988991, 748.526120, 1430.515112,0.018771, 0.421858,
0.089375, 682.030730, 747.906356, 1429.937086,0.012619, 0.426693,
0.090000, 682.066615, 747.158198, 1429.224813,0.006465, 0.431538,
0.090625, 682.096638, 746.282421, 1428.379058,0.000311, 0.436396,
0.091250, 682.120793, 745.280664, 1427.401458,-0.005845, 0.441264,
0.091875, 682.139078, 744.153786, 1426.292864,-0.012000, 0.446143,
0.092500, 682.151490, 742.903496, 1425.054986,-0.018155, 0.451033,
0.093125, 682.158029, 741.530730, 1423.688760,-0.024310, 0.455934,
0.093750, 682.158700, 740.037264, 1422.195964,-0.030463, 0.460844,
0.094375, 682.153505, 738.424109, 1420.577614,-0.036614, 0.465764,
0.095000, 682.142451, 736.693102, 1418.835553,-0.042763, 0.470694,
0.095625, 682.125546, 734.845325, 1416.970872,-0.048909, 0.475633,
0.096250, 682.102802, 732.882671, 1414.985473,-0.055052, 0.480582,
0.096875, 682.074229, 730.806291, 1412.880520,-0.061192, 0.485539,
0.097500, 682.039842, 728.618128, 1410.657971,-0.067327, 0.490505,
0.098125, 681.999657, 726.319398, 1408.319055,-0.073458, 0.495479,
0.098750, 681.953692, 723.912090, 1405.865782,-0.079584, 0.500462,
0.099375, 681.901966, 721.397479, 1403.299446,-0.085704, 0.505452,
0.100000, 681.844501, 718.777599, 1400.622101,-0.091819, 0.510450,
0.100625, 681.781320, 716.053780, 1397.835100,-0.097927, 0.515455,
0.101250, 681.712447, 713.228093, 1394.940541,-0.104029, 0.520467,
0.101875, 681.637910, 710.301920, 1391.939830,-0.110123, 0.525487,
0.102500, 681.557736, 707.277368, 1388.835104,-0.116210, 0.530513,
0.103125, 681.471956, 704.155864, 1385.627820,-0.122289, 0.535545,
0.103750, 681.380602, 700.939545, 1382.320147,-0.128359, 0.540584,
0.104375, 681.283705, 697.629883, 1378.913589,-0.134421, 0.545629,
0.105000, 681.181303, 694.229041, 1375.410343,-0.140473, 0.550679,
0.105625, 681.073430, 690.738528, 1371.811958,-0.146515, 0.555735,
0.106250, 680.960125, 687.160529, 1368.120654,-0.152547, 0.560796,
0.106875, 680.841427, 683.496591, 1364.338018,-0.158569, 0.565862,
0.107500, 680.717378, 679.748914, 1360.466292,-0.164580, 0.570933,
0.108125, 680.588019, 675.919077, 1356.507096,-0.170580, 0.576009,
0.108750, 680.453395, 672.009294, 1352.462689,-0.176567, 0.581089,
0.109375, 680.313550, 668.021171, 1348.334721,-0.182543, 0.586173,
0.110000, 680.168532, 663.956932, 1344.125464,-0.188506, 0.591261,
0.110625, 680.018388, 659.818206, 1339.836594,-0.194456, 0.596352,
0.111250, 679.863167, 655.607224, 1335.470391,-0.200393, 0.601447,
0.111875, 679.702920, 651.325633, 1331.028553,-0.206317, 0.606546,
0.112500, 679.537698, 646.975668, 1326.513366,-0.212226, 0.611647,
0.113125, 679.367555, 642.558991, 1321.926546,-0.218121, 0.616751,
